"","id","condition","stimulus","d_mu_obs","d_sd_obs","cohens_d","p","bf","ksp","resp"
"43","mv","bar",43,0.175303767140775,0.00977398985250411,0.268686722441434,0.513589423123209,-1.08555653018781,0.914993219397903,0
"44","mv","bar",44,0.385528639126517,0.0112321547045754,0.604029648781634,0.14552414712015,-0.373322837592781,0.285042147695836,1
"45","mv","bar",45,0.348667272429248,-0.128619406545193,0.465277234559902,0.260149394996363,-0.732569032753394,0.285042147695836,0
"46","mv","dot",46,0.112925476545854,0.0426894499113861,0.164483310345485,0.688813908626405,-1.19671075787585,0.475453501819058,0
"47","mv","bar",47,1.13888539071766,0.18361030369796,1.70028289962208,0.000134309026862043,5.17482069193834,0.000162522409463572,1
"48","mv","bar",48,0.655646738919041,-0.0704160249557162,1.22779121076346,0.00419905640739072,2.26694399981575,0.0148380846058485,1
"49","mv","bar",49,0.0073182859039807,0.203787963962397,0.00970277375783087,0.981140529692201,-1.26326846671859,0.914993219397903,0
"50","mv","dot",50,1.30162345586746,-0.404357756392177,1.95799924308584,2.15228316172567e-05,6.99080943382331,3.96396120641018e-05,1
"51","mv","dot",51,1.50614132620247,-0.300463859896224,2.31783849778904,1.02812635052009e-06,9.70322945805679,2.51414029595054e-07,1
"52","mv","dot",52,0.705352475326685,-0.13560024970851,1.19148585879635,0.00538927331582604,2.07185925837214,0.0356113702764075,1
"53","mv","bar",53,0.105027985732113,0.168497186123488,0.214773540852064,0.601386743887147,-1.14970027868887,0.710203899707662,0
"54","mv","dot",54,0.566193453693685,-0.310378265995543,0.83290631007099,0.0473981334489106,0.409519117314629,0.285042147695836,1
"55","mv","bar",55,2.13015958122122,-0.0378971653257668,3.17658578621064,4.7721911247065e-10,16.5374950704774,3.64368157868e-09,1
"56","mv","dot",56,0.71108739564028,0.333471781172963,1.05830039644886,0.0129692849474415,1.39655337947875,0.0778983654919732,1
"57","mv","dot",57,1.16443328885884,0.145887861345694,1.58059320511277,0.000332034861143123,4.38010105290925,0.00561441050794631,1
"58","mv","bar",58,0.780834295120999,-0.207178185617647,1.02460327442047,0.0156340876549144,1.23616739283039,0.0148380846058485,1
"59","mv","bar",59,0.20073573722123,0.0391050907258617,0.263860340052193,0.521152396273456,-1.09187663548412,0.914993219397903,1
"60","mv","dot",60,0.157428812342428,-0.378253381149126,0.231045757276066,0.574442177084836,-1.13183592385246,0.475453501819058,0
"61","mv","bar",61,0.0363772777095632,-0.0402594303146043,0.0561709390782282,0.891140964381147,-1.25570546204744,0.914993219397903,0
"62","mv","bar",62,2.53163705727943,-0.159004353250518,3.45563078352874,5.25601794293387e-11,18.7654893332529,2.51414029595054e-07,1
"63","mv","bar",63,0.0189042314354549,-0.217930468029682,0.0266338523917856,0.948266479132541,-1.26174829533679,0.914993219397903,0
"64","mv","bar",64,0.523028300276289,-0.223968509745047,0.73360575588314,0.0789302446726219,0.0415642286720836,0.0356113702764075,1
"65","mv","dot",65,0.714336820029512,0.161978186799046,1.09247841912648,0.0102462111647036,1.56363083980203,0.0148380846058485,1
"66","mv","dot",66,0.0295913417122177,0.0443552257147337,0.0373903048937508,0.927407783497053,-1.2600466982416,0.995531553175167,1
"67","mv","bar",67,0.775297682239413,0.0652859356130718,1.29143395254885,0.00271236216285691,2.61973338114551,0.0356113702764075,1
"68","mv","dot",68,1.0025916096953,-0.163708182762219,1.74448824113406,9.53245685390972e-05,5.47676519107258,0.00192071938456817,1
"69","mv","bar",69,0.291235534874951,0.0486278170292935,0.412366254948879,0.317529972947465,-0.845782357931335,0.475453501819058,0
"70","mv","bar",70,0.541034062152048,-0.327828450103628,0.700694583436865,0.0930923941358275,-0.0709170117943674,0.155760252006193,1
"71","mv","dot",71,0.92424331546761,0.168044357613862,1.22173149974234,0.00440141325348166,2.2340660982416,0.00561441050794631,0
"72","mv","bar",72,0.332376988259544,0.0620508626384245,0.507648949333844,0.21975571867933,-0.632373122454343,0.475453501819058,0
"73","mv","bar",73,1.0013830164351,0.292111112230477,1.49036504490255,0.000689914548164787,3.80501562525066,0.00561441050794631,1
"74","mv","bar",74,0.358410794024683,0.115468056361286,0.562718907637633,0.174578764841896,-0.489613719235639,0.155760252006193,1
"75","mv","bar",75,0.664955976332444,0.31764403713997,0.876096373872094,0.0373843201885205,0.582661394612197,0.155760252006193,1
"76","mv","bar",76,0.835863412759163,0.272323860357377,1.1165727831272,0.00888026260547347,1.68403369806193,0.0148380846058485,1
"77","mv","dot",77,0.234170059560363,-0.205261212556871,0.330412245543667,0.422471146363469,-0.994751261330315,0.475453501819058,0
"78","mv","dot",78,0.379586451025386,-0.2124154076678,0.486849312814032,0.239120370608157,-0.682611920771181,0.710203899707662,0
"79","mv","dot",79,0.512533828608393,0.0544566580288403,0.853782417755881,0.0418360640199245,0.49223218809172,0.285042147695836,1
"80","mv","bar",80,0.847967713964144,0.178758085391653,1.29767352450742,0.00263588905442315,2.65504387924664,0.00561441050794631,1
